#     BLOCK:       POFV:   AVE_POFV:      ERROR:
          12       4.495     3.50308    0.228761
          12       6.978     5.04079    0.397925
          12       7.078     6.56692    0.402456
          12       6.901     8.22425      0.5058
          12       8.674     9.00483    0.462287
          12      7.9245     8.68767    0.438607
          12     10.1445     9.15371    0.365247
          12       9.342     8.45367    0.385556
          12       7.519     7.01329    0.260371
          12       5.736     6.18242    0.137502
          12      6.4405     6.11158    0.340254
          12      5.1905     5.99537    0.593133
          12       4.266     5.05179    0.285929
          12       3.559       3.533    0.325247
          12       2.406     3.13725     0.29272
          12      1.3965     1.99988      0.2169
          12      1.0545     1.93746    0.233619
          12       1.461     1.49287    0.111568
          12      0.5955    0.966417    0.104331
          12      0.5135    0.506792   0.0882503
          12      0.4915    0.405167   0.0987562
          12      0.3835    0.243083   0.0588769
          12      0.0665    0.135917   0.0477551
          12      0.0205    0.102375   0.0594587
          12        0.03   0.0374583   0.0168978
          12        0.01   0.0329583   0.0150545


          13       0.049   0.0690385   0.0234176
          13      0.6585    0.523962   0.0593073
          13       1.718     1.49954    0.181679
          13       2.859     2.44935    0.158822
          13      6.3755     3.72404    0.299426
          13      7.0185     5.19292    0.395328
          13      5.9265     6.51765    0.374501
          13       7.853     8.19569    0.467697
          13       7.265       8.871    0.445678
          13       9.256     8.73138    0.407041
          13        7.92     9.05881    0.349262
          13       7.033     8.34438    0.371062
          13      7.5795     7.05685    0.243958
          13      5.8795     6.15912    0.128884
          13       7.344     6.20638    0.327021
          13       6.753     6.05365    0.550363
          13       3.676     4.94596    0.282843
          13      5.5485     3.68804    0.335149
          13       2.282     3.07146    0.277497
          13      1.1485     1.93438     0.20987
          13       0.838     1.85288    0.230449
          13       0.687     1.43088    0.118967
          13      0.3655    0.920192    0.106052
          13      0.5005    0.506308   0.0814632
          13      0.5035    0.412731   0.0914488
          13      0.6075    0.271115   0.0606551
          13      0.2315    0.143269    0.044644
          13      0.1235       0.104   0.0549072
          13           0   0.0345769   0.0158418
          13           0   0.0304231   0.0141083


          14      0.1555   0.0752143   0.0225446
          14      0.9545    0.554714    0.062538
          14       1.693     1.51336    0.169226
          14      3.1125     2.49671     0.15438
          14       5.606     3.85846    0.306732
          14       6.221     5.26636    0.373849
          14       7.264     6.57096    0.351525
          14      6.8595     8.10025    0.443922
          14       7.335     8.76129    0.427135
          14       8.568     8.71971    0.378134
          14      8.0795     8.98886    0.331245
          14      6.7035     8.22718    0.362596
          14      6.5255     7.01889    0.229466
          14      7.8445      6.2795    0.166674
          14      7.2635     6.28189    0.312258
          14       5.847     6.03889     0.51125
          14      7.2035     5.10721    0.305163
          14        3.08     3.64461    0.314011
          14      1.9195     2.98918    0.269599
          14      2.0965     1.94596    0.195198
          14      0.7125     1.77143     0.22793
          14       1.373     1.42675    0.110541
          14      0.5495    0.893714    0.101729
          14        0.43    0.500857   0.0758265
          14       0.603    0.426321   0.0859207
          14           0     0.25175   0.0593335
          14           0    0.133036   0.0426119
          14           0   0.0965714   0.0514853
          14           0   0.0321071   0.0149015
          14           0     0.02825   0.0132669


          15      0.3285      0.0921   0.0266246
          15       0.384    0.543333   0.0593953
          15        1.72     1.52713    0.158504
          15      2.9405      2.5263    0.146895
          15       5.154     3.94483    0.298196
          15       4.956     5.24567    0.349497
          15      5.9245     6.52787    0.330721
          15      8.7425     8.14307    0.416387
          15      8.4745     8.74217    0.399087
          15      8.3365     8.69417    0.353787
          15      9.2785     9.00817    0.309725
          15        7.66     8.18937    0.340389
          15      8.9035     7.14453    0.246173
          15       8.352     6.41767     0.20498
          15       5.506     6.23017    0.295694
          15      3.1795     5.84827    0.511472
          15      7.2475      5.2499    0.316424
          15       3.608     3.64217    0.293086
          15      1.8165       2.911    0.262717
          15       1.447      1.9127    0.184998
          15      1.0955     1.72637    0.217143
          15       1.042      1.4011    0.106106
