# Generazione: Individuo: Fitness:
5 102 37.0489
5 103 37.0489
5 104 37.1559
5 105 37.2736
5 106 37.3186
5 107 37.3373
5 108 37.7142
5 109 37.7142
5 110 37.877
5 111 37.9798
5 112 37.992
5 113 37.9979
5 114 38.0375
5 115 38.1661
5 116 38.1661
5 117 38.1823
5 118 38.1823
5 119 38.1823
5 120 38.1823
5 121 38.4234
5 122 38.9086
5 123 38.9086
5 124 39.0065
5 125 39.0503
5 126 39.0657
5 127 39.1148
5 128 39.1914
5 129 39.2224
5 130 39.2516
5 131 39.3494
5 132 39.5099
5 133 39.5099
5 134 39.5099
5 135 39.5099
5 136 39.5099
5 137 39.5099
5 138 39.5253
5 139 39.5903
5 140 39.7873
5 141 40.0537
5 142 40.0582
5 143 40.0602
5 144 40.135
5 145 40.1577
5 146 40.2646
5 147 40.2672
5 148 40.5162
5 149 40.7425
5 150 40.7533
5 151 40.7533
5 152 40.7964
5 153 41.1298
5 154 41.1298
5 155 41.1298
5 156 41.1298
5 157 41.4716
5 158 41.6339
5 159 41.6339
5 160 41.6339
5 161 41.6339
5 162 41.6339
5 163 41.6339
5 164 41.6385
5 165 41.6482
5 166 41.6482
5 167 41.6528
5 168 41.7267
5 169 41.7267
5 170 41.743
5 171 41.8489
5 172 42.1372
5 173 42.2775
5 174 42.6292
5 175 42.6595
5 176 42.6951
5 177 42.8346
5 178 43.0241
5 179 43.0241
5 180 43.0321
5 181 43.0321
5 182 43.0321
5 183 43.5753
5 184 43.8179
5 185 43.8997
5 186 44.4256
5 187 44.4416
5 188 44.5413
5 189 44.8949
5 190 44.9553
5 191 44.9553
5 192 45.0049
5 193 45.0876
5 194 46.0804
5 195 46.2278
5 196 46.3092
5 197 46.3092
5 198 46.3092
5 199 47.1621
5 200 49.4889
6 1 24.3274
6 2 24.3274
6 3 24.3274
6 4 24.3274
6 5 24.3274
6 6 24.3274
6 7 24.3274
6 8 24.3274
6 9 24.3274
6 10 24.3274
6 11 24.3274
6 12 24.3274
6 13 25.3051
6 14 25.3051
6 15 25.317
6 16 26.0619
6 17 26.0619
6 18 26.0735
6 19 26.0735
6 20 26.0735
6 21 26.0735
6 22 26.0735
6 23 26.0735
6 24 26.0735
6 25 26.0735
6 26 26.0735
6 27 26.3461
6 28 26.6603
6 29 26.7298
6 30 26.752
6 31 28.055
6 32 28.055
6 33 28.055
6 34 28.055
6 35 28.055
6 36 28.055
6 37 28.055
6 38 28.055
6 39 28.2317
6 40 28.2317
6 41 28.2317
6 42 28.2317
6 43 28.2317
6 44 28.2317
6 45 28.2317
6 46 28.2317
6 47 28.3974
6 48 28.3974
6 49 28.6409
6 50 28.917
6 51 29.171
6 52 29.171
6 53 29.171
6 54 29.6567
6 55 29.6567
6 56 29.7735
6 57 29.7735
6 58 29.7735
6 59 29.7735
6 60 29.7735
6 61 29.7735
6 62 30.2509
6 63 30.316
6 64 30.4087
6 65 30.8177
6 66 31.0925
6 67 31.4116
6 68 31.4116
6 69 31.4116
6 70 31.7197
6 71 31.8929
6 72 31.8929
6 73 32.4954
6 74 32.8621
6 75 32.9212
6 76 32.9212
6 77 32.9212
6 78 33.0093
6 79 33.3681
6 80 33.3681
6 81 33.3681
6 82 33.3681
6 83 33.7254
6 84 34.1247
6 85 34.2667
6 86 34.5086
6 87 34.5086
6 88 34.5131
6 89 34.6093
6 90 34.8338
6 91 34.959
6 92 35.1193
6 93 35.1193
6 94 35.1193
6 95 35.9004
6 96 35.9996
6 97 35.9996
6 98 35.9996
6 99 36
6 100 36.0979
6 101 36.1427
6 102 36.2271
6 103 36.4885
6 104 36.4885
6 105 36.5164
6 106 36.5164
6 107 36.5164
6 108 36.5988
6 109 36.9495
6 110 37.0489
6 111 37.0489
6 112 37.1299
6 113 37.1559
