#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
326 0.0747719 0.828421 0.558524 -0.403979 0.0034049
327 0.0740242 0.828421 0.558524 -0.410925 0.0033263
328 0.073284 0.849446 0.569378 -0.40996 0.00363002
329 0.0725511 0.873379 0.581087 -0.416297 0.0032759
330 0.0718256 0.876616 0.557544 -0.393319 0.00408892
331 0.0711074 0.85056 0.590551 -0.429782 0.00287621
332 0.0703963 0.816556 0.598041 -0.443066 0.00257634
333 0.0696923 0.85086 0.574551 -0.421645 0.00338876
334 0.0689954 0.835043 0.576176 -0.426801 0.00296119
335 0.0683055 0.81635 0.608762 -0.444865 0.00252032
336 0.0676224 0.793221 0.616194 -0.445325 0.00235049
337 0.0669462 0.815242 0.605831 -0.441924 0.00237011
338 0.0662767 0.832458 0.608846 -0.440233 0.0028363
339 0.0656139 0.863785 0.587423 -0.426363 0.00320047
340 0.0649578 0.852852 0.561817 -0.401217 0.00338134
341 0.0643082 0.860698 0.578195 -0.412463 0.00310068
342 0.0636651 0.841655 0.598959 -0.435114 0.00203974
343 0.0630285 0.828422 0.592014 -0.437359 0.0029041
344 0.0623982 0.84927 0.619077 -0.425544 0.00309306
345 0.0617742 0.833326 0.644764 -0.437071 0.00372892
346 0.0611565 0.806103 0.624642 -0.442494 0.0030157
347 0.0605449 0.797237 0.650691 -0.432171 0.00317838
348 0.0599395 0.783101 0.645564 -0.443296 0.00278782
349 0.0593401 0.771827 0.623298 -0.440679 0.00194024
350 0.0587467 0.800231 0.639622 -0.444554 0.00225809
351 0.0581592 0.783243 0.660381 -0.429791 0.00267705
352 0.0575776 0.763081 0.649506 -0.435785 0.00297794
353 0.0570018 0.753964 0.668169 -0.431684 0.00312285
354 0.0564318 0.765826 0.667048 -0.424515 0.00293092
355 0.0558675 0.765826 0.667048 -0.422893 0.00315255
356 0.0553088 0.765826 0.667048 -0.422804 0.00301697
357 0.0547557 0.779644 0.657817 -0.438718 0.00332207
358 0.0542082 0.775974 0.663012 -0.425923 0.00479576
359 0.0536661 0.766173 0.641241 -0.433539 0.0027663
360 0.0531294 0.770996 0.656477 -0.43755 0.00316369
361 0.0525981 0.750793 0.649666 -0.428096 0.00264406
362 0.0520722 0.773748 0.625858 -0.441024 0.00235859
363 0.0515514 0.762136 0.624212 -0.437791 0.0025382
364 0.0510359 0.756737 0.64377 -0.437456 0.00291857
365 0.0505256 0.756017 0.646318 -0.430267 0.00283187
366 0.0500203 0.743857 0.667144 -0.417814 0.00309581
367 0.0495201 0.757967 0.644937 -0.433451 0.00269051
368 0.0490249 0.759778 0.650659 -0.430178 0.00334253
369 0.0485347 0.763193 0.660987 -0.425982 0.00260274
370 0.0480493 0.763193 0.660987 -0.431285 0.00299552
371 0.0475688 0.786841 0.681577 -0.424884 0.00432506
372 0.0470931 0.771946 0.658393 -0.427682 0.00257242
373 0.0466222 0.771266 0.670634 -0.424115 0.00354941
374 0.046156 0.775139 0.651326 -0.429276 0.00296595
375 0.0456944 0.766151 0.641535 -0.433578 0.00254697
376 0.0452375 0.747618 0.6272 -0.43869 0.00230266
377 0.0447851 0.731264 0.609125 -0.433309 0.00273544
378 0.0443372 0.708919 0.601238 -0.415025 0.00259701
379 0.0438939 0.712656 0.619449 -0.421861 0.00225079
380 0.0434549 0.698292 0.61215 -0.407887 0.00202264
381 0.0430204 0.713712 0.592745 -0.418313 0.00253258
382 0.0425902 0.733247 0.59428 -0.428972 0.00245883
383 0.0421643 0.7175 0.587915 -0.412997 0.00257159
384 0.0417426 0.737901 0.570216 -0.413576 0.00241161
385 0.0413252 0.739848 0.589329 -0.423531 0.00267144
386 0.040912 0.736408 0.585308 -0.424245 0.00244286
387 0.0405028 0.736408 0.585308 -0.423483 0.00229608
388 0.0400978 0.729947 0.575875 -0.413099 0.00289914
389 0.0396968 0.733411 0.573419 -0.412309 0.00294124
390 0.0392999 0.733411 0.573419 -0.413837 0.00293911
391 0.0389069 0.733411 0.573419 -0.415621 0.00275367
392 0.0385178 0.733411 0.573419 -0.414449 0.00315308
393 0.0381326 0.719558 0.556199 -0.392649 0.00302459
394 0.0377513 0.724445 0.572562 -0.410913 0.00290429
395 0.0373738 0.730845 0.571298 -0.413119 0.00299308
396 0.037 0.743416 0.56346 -0.40482 0.003478
397 0.03663 0.741743 0.573109 -0.413951 0.0031112
398 0.0362637 0.74186 0.571597 -0.41838 0.00291271
399 0.0359011 0.751403 0.569025 -0.422983 0.0035385
400 0.0355421 0.748678 0.569691 -0.419674 0.00296187
