#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
          18    0.651661    0.433513  0.00212145         0.9
          19    0.655444    0.433188  0.00203454         0.9
          20    0.647953      0.4324  0.00207982         0.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.723373    0.451148           0         0.8
           2    0.720476    0.432928   0.0128836         0.8
           3    0.723625    0.444316   0.0126582         0.8
           4    0.728602     0.44485   0.0095049         0.8
           5    0.722109    0.441381  0.00821266         0.8
           6    0.736152    0.441169  0.00684662         0.8
           7    0.722081    0.437852  0.00662366         0.8
           8    0.718707    0.437556  0.00580229         0.8
           9    0.725448    0.439411  0.00544609         0.8
          10    0.724855    0.438121  0.00505203         0.8
          11    0.723668    0.437882  0.00459841         0.8
          12    0.724618    0.438352  0.00423913         0.8
          13    0.723792    0.437248  0.00405415         0.8
          14     0.72408    0.436358  0.00386108         0.8
          15    0.721928     0.43754  0.00378026         0.8
          16     0.73052    0.437655  0.00354574         0.8
          17    0.733366    0.438209  0.00338025         0.8
          18    0.718556    0.437664   0.0032362         0.8
          19    0.730644    0.437987    0.003082         0.8
          20    0.718942    0.436959  0.00309482         0.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.801018    0.450868           0         0.7
           2    0.801196    0.445405  0.00386287         0.7
           3    0.802809    0.441815  0.00390225         0.7
           4    0.797115    0.448937  0.00682743         0.7
           5    0.791307    0.441476  0.00862375         0.7
           6    0.804545    0.438955  0.00754597         0.7
           7    0.789948    0.435207  0.00734006         0.7
           8      0.7901    0.431896  0.00713026         0.7
           9    0.804127    0.433769  0.00657947         0.7
          10    0.805796    0.432278  0.00608811         0.7
          11    0.802875    0.431512  0.00558264         0.7
          12    0.794001    0.429025  0.00564445         0.7
          13    0.801217    0.429245  0.00521458         0.7
          14    0.793254    0.427376  0.00516642         0.7
          15     0.79641    0.426752  0.00485947         0.7
          16    0.798468    0.425877  0.00463381         0.7
          17    0.815258    0.426855  0.00446305         0.7
          18    0.791575    0.425879  0.00432041         0.7
          19    0.798762    0.426387  0.00412272         0.7
          20    0.799165    0.426463  0.00391729         0.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.875822    0.453378           0         0.6
           2    0.877389    0.446398  0.00493621         0.6
           3    0.868777    0.426783   0.0163501         0.6
           4    0.868543    0.411449   0.0180752         0.6
           5    0.860876    0.417023   0.0152954         0.6
           6    0.880865    0.417859    0.012769         0.6
           7    0.882157    0.416856   0.0109842         0.6
           8    0.862847    0.412685   0.0103729         0.6
           9    0.880111    0.414811  0.00943563         0.6
          10    0.886156    0.412278  0.00882537         0.6
          11    0.872069    0.411895  0.00803139         0.6
          12    0.875316    0.412174  0.00736694         0.6
          13     0.89748     0.41287  0.00683309         0.6
          14    0.866371      0.4145  0.00653651         0.6
          15    0.885617     0.41438  0.00610185         0.6
          16     0.88465    0.415272  0.00578538         0.6
          17    0.881973    0.416268  0.00553013         0.6
          18    0.866206    0.415155  0.00533369         0.6
          19    0.875674    0.414174   0.0051424         0.6
          20    0.887071    0.413446  0.00493659         0.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.925322    0.420082           0         0.5
           2    0.933204    0.403293   0.0118715         0.5
           3    0.936142    0.394754   0.0105472         0.5
           4    0.947448    0.380248   0.0148456         0.5
           5    0.929616    0.381134   0.0119029         0.5
           6    0.944362    0.377382   0.0104939         0.5
           7    0.949786    0.376096  0.00907323         0.5
           8    0.958581    0.365079   0.0130091         0.5
           9    0.945379    0.362963   0.0117345         0.5
          10    0.955626    0.356895   0.0120278         0.5
          11     0.94503    0.355641   0.0109996         0.5
          12     0.94503    0.354326   0.0101612         0.5
          13    0.949492    0.353174  0.00944464         0.5
          14    0.945824    0.351468  0.00892282         0.5
          15    0.952337    0.350347  0.00839807         0.5
          16     0.94895    0.349211  0.00794963         0.5
          17    0.955975    0.346325  0.00798869         0.5
          18    0.949334    0.347729  0.00766726         0.5
          19    0.941548    0.348493  0.00730161         0.5
          20    0.953752    0.346416  0.00722577         0.5
