#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           4    0.578144     0.58358   0.0443912         0.6
           5     0.57856    0.582576   0.0355243         0.6
           6    0.721306    0.605698   0.0363577         0.6
           7    0.672586    0.615253   0.0323951         0.6
           8    0.696544    0.625414   0.0298969         0.6
           9    0.747114    0.638937   0.0294748         0.6
          10    0.716428    0.646686   0.0275271         0.6
          11    0.630306    0.645197   0.0250649         0.6
          12    0.688626    0.648816    0.023236         0.6
          13    0.643722    0.648424   0.0214519         0.6
          14     0.64057    0.647863    0.019927         0.6
          15     0.67164    0.649448   0.0186614         0.6
          16    0.588982    0.645669   0.0178737         0.6
          17     0.65039    0.645947   0.0168244         0.6
          18     0.56579    0.641494   0.0164685         0.6
          19     0.70742    0.644963   0.0159631         0.6
          20    0.712416    0.648336   0.0155171         0.6
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.935164    0.935164           0         0.5
           2    0.914502    0.924833  0.00730512         0.5
           3    0.822726    0.890797   0.0282135         0.5
           4     0.85609     0.88212   0.0224548         0.5
           5    0.834578    0.872612   0.0198753         0.5
           6    0.854366    0.869571   0.0167938         0.5
           7     0.86045    0.868268   0.0144451         0.5
           8    0.896448     0.87179   0.0130619         0.5
           9    0.922398    0.877414   0.0127637         0.5
          10    0.903352    0.880007   0.0117479         0.5
          11     0.89837    0.881677   0.0107979         0.5
          12    0.927894    0.885528   0.0105626         0.5
          13      0.9013    0.886741  0.00981954         0.5
          14     0.93853    0.890441  0.00979015         0.5
          15    0.872544    0.889247  0.00920989         0.5
          16     0.94206    0.892548  0.00920678         0.5
          17    0.938718    0.895264  0.00905692         0.5
          18    0.836806    0.892016  0.00911747         0.5
          19    0.952824    0.895217  0.00918214         0.5
          20    0.910924    0.896002  0.00875655         0.5
