#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           7   -0.805468    -0.80487 0.000322274         0.9
           8   -0.803728   -0.804727 0.000311993         0.9
           9   -0.803288   -0.804567 0.000315649         0.9
          10   -0.806332   -0.804744 0.000329754         0.9
          11   -0.802676   -0.804556 0.000349262         0.9
          12   -0.807136   -0.804771 0.000380638         0.9
          13   -0.807328   -0.804967 0.000398966         0.9
          14   -0.803576   -0.804868 0.000382647         0.9
          15    -0.80438   -0.804835 0.000358517         0.9
          16   -0.805376   -0.804869 0.000337698         0.9
          17   -0.803144   -0.804768 0.000332733         0.9
          18   -0.804052   -0.804728 0.000316615         0.9
          19   -0.806536   -0.804823 0.000313926         0.9
          20   -0.803928   -0.804778 0.000301403         0.9
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.849744   -0.849744           0         0.8
           2   -0.847132   -0.848438 0.000923481         0.8
           3   -0.848424   -0.848433 0.000615666         0.8
           4     -0.8517    -0.84925 0.000844643         0.8
           5   -0.850836   -0.849567 0.000732859         0.8
           6   -0.852232   -0.850011 0.000733043         0.8
           7   -0.849812   -0.849983 0.000628876         0.8
           8   -0.847628   -0.849689 0.000615311         0.8
           9   -0.846412   -0.849324 0.000645722         0.8
          10   -0.848848   -0.849277 0.000582905         0.8
          11   -0.850384   -0.849377 0.000538534         0.8
          12   -0.847432   -0.849215 0.000517484         0.8
          13   -0.849088   -0.849206  0.00047777         0.8
          14   -0.845848   -0.848966 0.000500227         0.8
          15   -0.847872   -0.848893 0.000472163         0.8
          16   -0.850484   -0.848992 0.000453005         0.8
          17   -0.847924   -0.848929 0.000430694         0.8
          18   -0.851604   -0.849078 0.000431637         0.8
          19   -0.849084   -0.849078  0.00040892         0.8
          20    -0.84944   -0.849096 0.000388873         0.8
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1    -0.89354    -0.89354           0         0.7
           2    -0.89364    -0.89359 3.53553e-05         0.7
           3   -0.888812   -0.891997  0.00130062         0.7
           4   -0.886484   -0.890619  0.00154155         0.7
           5   -0.894912   -0.891478   0.0014528         0.7
           6   -0.894864   -0.892042  0.00131574         0.7
           7   -0.889624   -0.891697  0.00117225         0.7
           8   -0.890356   -0.891529  0.00103762         0.7
           9   -0.894988   -0.891913 0.000990957         0.7
          10   -0.897604   -0.892482  0.00104253         0.7
          11   -0.890124   -0.892268 0.000969551         0.7
          12     -0.8967   -0.892637 0.000956517         0.7
          13   -0.887952   -0.892277 0.000948412         0.7
          14   -0.888488   -0.892006 0.000918471         0.7
          15   -0.891824   -0.891994  0.00085732         0.7
          16   -0.891356   -0.891954 0.000804665         0.7
          17   -0.887388   -0.891686 0.000800908         0.7
          18   -0.894092   -0.891819  0.00076749         0.7
          19   -0.898892   -0.892192 0.000812368         0.7
          20   -0.892376   -0.892201 0.000771802         0.7
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.939272   -0.939272           0         0.6
           2   -0.937816   -0.938544 0.000514774         0.6
           3   -0.927532   -0.934873  0.00301667         0.6
           4   -0.927404   -0.933006  0.00278103         0.6
           5    -0.93428   -0.933261  0.00223647         0.6
           6   -0.936624   -0.933821  0.00193269         0.6
           7   -0.931156   -0.933441  0.00169368         0.6
           8   -0.932796    -0.93336  0.00148389         0.6
           9   -0.937348   -0.933803  0.00138359         0.6
          10   -0.939484   -0.934371  0.00135685         0.6
          11   -0.929344   -0.933914  0.00130821         0.6
          12   -0.936372   -0.934119  0.00121512         0.6
          13    -0.93742   -0.934373  0.00114787         0.6
          14   -0.931448   -0.934164  0.00108473         0.6
          15   -0.931176   -0.933965  0.00103054         0.6
          16   -0.940084   -0.934347  0.00103467         0.6
          17   -0.934684   -0.934367 0.000973995         0.6
          18   -0.931188    -0.93419  0.00093576         0.6
          19   -0.936072   -0.934289 0.000891734         0.6
          20   -0.937868   -0.934468 0.000864912         0.6
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.973224   -0.973224           0         0.5
           2    -0.97418   -0.973702 0.000337997         0.5
           3   -0.969212   -0.972205  0.00124262         0.5
           4   -0.970832   -0.971862  0.00097825         0.5
           5   -0.975112   -0.972512 0.000974917         0.5
           6   -0.973092   -0.972609 0.000817209         0.5
           7    -0.96858   -0.972033 0.000880091         0.5
           8    -0.97576   -0.972499 0.000884826         0.5
           9   -0.975896   -0.972876 0.000863271         0.5
          10   -0.978896   -0.973478 0.000964239         0.5
          11    -0.97844   -0.973929 0.000976396         0.5
          12    -0.97442    -0.97397 0.000895885         0.5
          13   -0.972188   -0.973833 0.000837396         0.5
          14   -0.970544   -0.973598  0.00080987         0.5
          15     -0.9792   -0.973972 0.000837567         0.5
          16    -0.97886   -0.974277 0.000839092         0.5
          17   -0.980616    -0.97465 0.000868638         0.5
          18   -0.966632   -0.974205 0.000927592         0.5
          19   -0.975608   -0.974279 0.000881707         0.5
          20   -0.970856   -0.974107 0.000854067         0.5
